Part;;Value;Device;Package;Description
C1;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C2;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C3;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C6;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C7;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C8;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C9;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C10;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C11;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C12;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C13;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C14;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C15;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C16;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C17;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C18;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C20;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C21;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C25;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C26;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C28;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C31;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C32;C;100n;C-EUC1206;C1206;CAPACITOR, European symbol
C27;C;1n;C-EUC1206;C1206;CAPACITOR, European symbol
C19;C;220u/35V;CPOL-EUE3.5-8LR;E3,5-8LR;POLARIZED CAPACITOR, European symbol
C4;C;22p;C-EUC0805;C0805;CAPACITOR, European symbol
C5;C;22p;C-EUC0805;C0805;CAPACITOR, European symbol
C23;C;CE 1000u 35VIT HIT;CPOL-EUE5-13X26-LR;E5-13X26-LR;POLARIZED CAPACITOR, European symbol
C24;C;CE 1000u 35VIT HIT;CPOL-EUE5-13X26-LR;E5-13X26-LR;POLARIZED CAPACITOR, European symbol
D1;D;MBRS340T3;MBRS340T3;SMC;
IC1;I;75176-SO;75176-SO;SO08;
IC2;I;MEGA8-AI;MEGA8-AI;TQFP32-08;MICROCONTROLLER
IC3;I;LM324D;LM324D;SO14;OP AMP
IC4;I;7812T;7812T;TO220H;Positive VOLTAGE REGULATOR
IC5;I;74LS595D;74LS595D;SO16;8-bit SHIFT REGISTER, output latch
J1;J;;VG32SP;VG32P;PCB EUROCARD, 32-pin type C/AC, 5.08 mm
KK1;K;D0A-L;D0A-L;D02A-L;HEATSINK
KK2;K;D0A-L;D0A-L;D02A-L;HEATSINK
KK3;K;D0A-L;D0A-L;D02A-L;HEATSINK
L1;L;TL.4.7µH;L-EU0207/12;0207/12;INDUCTOR, European symbol
I.01;3;L-3P90-RED;L-3P90-RED;L-3P90;
I.02;3;F1345PLD2-3B;F1345PLD2-3B;F1345PLD2-3B;
I.03;3;F1345PLD2-3B;F1345PLD2-3B;F1345PLD2-3B;
I.04;3;L-3P90-RED;L-3P90-RED;L-3P90;
I.06;3;F1345PLD2-3B;F1345PLD2-3B;F1345PLD2-3B;
Q1;Q;VII.37;XTAL;HC49U70;
Q2;Q;BDX34;BDX34;TO220;PNP Darlington Transistor
Q4;Q;BDX34;BDX34;TO220;PNP Darlington Transistor
R1;R;100k;R-EU_R1206;R1206;RESISTOR, European symbol
R2;R;100k;R-EU_R1206;R1206;RESISTOR, European symbol
